ISO3,Countries and areas,Region,Sub-region,Income Group,Total,Rural,Urban,Poorest,Richest,Time period,Data source
,,,UNICEF Sub-region 1,,,,,,,,
DZA,Algeria,MENA,MENA,Upper middle income (UM),25%,10%,33%,1%,78%,2018-19,Multiple Indicator Cluster Survey
AGO,Angola,SSA,ESA,Lower middle income (LM),19%,2%,27%,0%,62%,2015-16,Demographic and Health Survey
ARG,Argentina,LAC,LAC,Upper middle income (UM),43%,,,,,2011-12,Multiple Indicator Cluster Survey
ARM,Armenia,ECA,EECA,Upper middle income (UM),81%,71%,89%,44%,99%,2015-16,Demographic and Health Survey
BGD,Bangladesh,SA,SA,Lower middle income (LM),34%,31%,48%,8%,73%,2019,Multiple Indicator Cluster Survey
BRB,Barbados,LAC,LAC,High income (H),68%,66%,69%,20%,100%,2012,Multiple Indicator Cluster Survey
BEN,Benin,SSA,WCA,Low income (L),4%,2%,7%,0%,16%,2017-18,Demographic and Health Survey
BOL,Bolivia (Plurinational State of),LAC,LAC,Lower middle income (LM),12%,3%,17%,,,2016,EDSA
BIH,Bosnia and Herzegovina,ECA,EECA,Upper middle income (UM),61%,52%,79%,11%,95%,2011-12,Multiple Indicator Cluster Survey
BRA,Brazil,LAC,LAC,Upper middle income (UM),82%,50%,89%,84%,97%,2018,"Brazil Continuous National Household Sample Survey (Continuous PNAD) 2018, IBGE."
BGR,Bulgaria,ECA,EECA,Upper middle income (UM),81%,74%,84%,39%,100%,2013,Bulgarian Longitudinal Inclusive Society Survey (BLISS) 2013
BFA,Burkina Faso,SSA,WCA,Low income (L),2%,1%,5%,1%,6%,2010,Demographic and Health Survey
CMR,Cameroon,SSA,WCA,Lower middle income (LM),5%,0%,10%,0%,23%,2014,Multiple Indicator Cluster Survey
CAF,Central African Republic,SSA,WCA,Low income (L),5%,1%,11%,0%,18%,2018-19,Multiple Indicator Cluster Survey
TCD,Chad,SSA,WCA,Low income (L),2%,1%,8%,0%,9%,2019,Multiple Indicator Cluster Survey
CHL,Chile,LAC,LAC,High income (H),87%,71%,90%,75%,99%,2017,CASEN
CHN,China,EAP,EAP,Upper middle income (UM),64%,51%,91%,,,2018,CHARLS 2018
COL,Colombia,LAC,LAC,Upper middle income (UM),39%,6%,51%,1%,99%,2015-16,Demographic and Health Survey
CRI,Costa Rica,LAC,LAC,Upper middle income (UM),74%,60%,81%,46%,99%,2018,Multiple Indicator Cluster Survey
CIV,Côte d'Ivoire,SSA,WCA,Lower middle income (LM),4%,1%,7%,0%,16%,2016,Multiple Indicator Cluster Survey
CUB,Cuba,LAC,LAC,Upper middle income (UM),4%,0%,7%,16%,0%,2019,Multiple Indicator Cluster Survey
COD,Democratic Republic of the Congo,SSA,WCA,Low income (L),1%,0%,2%,0%,2%,2017-18,Multiple Indicator Cluster Survey
DJI,Djibouti,SSA,ESA,Lower middle income (LM),7%,2%,11%,2%,36%,2012,Enquête Djiboutienne Auprès des Ménages pour les Indicateurs Sociaux 2012 - Données pour utilisation publique
DOM,Dominican Republic,LAC,LAC,Upper middle income (UM),25%,12%,30%,0%,75%,2014,Multiple Indicator Cluster Survey
ECU,Ecuador,LAC,LAC,Upper middle income (UM),43%,19%,55%,,,2018,ENSANUT
EGY,Egypt,MENA,MENA,Lower middle income (LM),18%,9%,32%,,,2015,"2015 Household Income, Expenditure and Consumption Survey"
GMB,Gambia,SSA,WCA,Low income (L),66%,47%,76%,25%,94%,2018,Multiple Indicator Cluster Survey
GEO,Georgia,ECA,EECA,Upper middle income (UM),85%,73%,93%,54%,99%,2018,Multiple Indicator Cluster Survey
GHA,Ghana,SSA,WCA,Lower middle income (LM),16%,10%,25%,3%,49%,2017-18,Multiple Indicator Cluster Survey
GTM,Guatemala,LAC,LAC,Upper middle income (UM),10%,3%,20%,0%,49%,2014-15,Demographic and Health Survey
GNB,Guinea-Bissau,SSA,WCA,Low income (L),2%,1%,3%,0%,5%,2018-19,Multiple Indicator Cluster Survey
HTI,Haiti,LAC,LAC,Low income (L),22%,13%,38%,0%,71%,2016-17,Demographic and Health Survey
IND,India,SA,SA,Lower middle income (LM),8%,5%,16%,0%,35%,2015-16,Demographic and Health Survey
IDN,Indonesia,EAP,EAP,Lower middle income (LM),20%,11%,28%,7%,47%,2019,SUSENAS
IRQ,Iraq,MENA,MENA,Upper middle income (UM),50%,36%,57%,16%,84%,2018,Multiple Indicator Cluster Survey
JPN,Japan,EAP,EAP,High income (H),78%,77%,79%,64%,88%,2018,The Japan Household Panel Survey
JOR,Jordan,MENA,MENA,Upper middle income (UM),41%,38%,41%,23%,73%,2017-18,Demographic and Health Survey
KEN,Kenya,SSA,ESA,Lower middle income (LM),33%,,24%,,,2013,STEP Skills Measurement Household Survey 2013 (Wave 2)
KIR,Kiribati,EAP,EAP,Lower middle income (LM),50%,34%,68%,14%,89%,2018-19,Multiple Indicator Cluster Survey
KGZ,Kyrgyzstan,ECA,EECA,Lower middle income (LM),74%,69%,84%,56%,90%,2018,Multiple Indicator Cluster Survey
LAO,Lao People's Democratic Republic,EAP,EAP,Lower middle income (LM),1%,1%,3%,0%,5%,2017,Multiple Indicator Cluster Survey
LSO,Lesotho,SSA,ESA,Lower middle income (LM),31%,21%,54%,8%,71%,2018,Multiple Indicator Cluster Survey
MDG,Madagascar,SSA,ESA,Low income (L),11%,7%,27%,0%,47%,2018,Multiple Indicator Cluster Survey
MDV,Maldives,SA,SA,Upper middle income (UM),68%,69%,66%,52%,87%,2016-17,Demographic and Health Survey
MLI,Mali,SSA,WCA,Low income (L),7%,4%,17%,0%,26%,2015,Multiple Indicator Cluster Survey
