ISO3,Countries and areas,Region,Sub-region,Income Group,Total,Rural,Urban,Poorest,Richest,Time period,Data source
DZA,Algeria,MENA,MENA,Upper middle income (UM),19%,10%,25%,1%,72%,2018-19,Demographic and Health Survey
AGO,Angola,SSA,ESA,Lower middle income (LM),12%,1%,19%,0%,58%,2015-16,Multiple Indicator Cluster Survey
ARG,Argentina,LAC,LAC,Upper middle income (UM),34%,,,,,2011-12,Demographic and Health Survey
ARM,Armenia,ECA,EECA,Upper middle income (UM),77%,67%,84%,45%,98%,2015-16,Multiple Indicator Cluster Survey
BGD,Bangladesh,SA,SA,Lower middle income (LM),37%,33%,52%,8%,76%,2019,Multiple Indicator Cluster Survey
BRB,Barbados,LAC,LAC,High income (H),61%,60%,62%,2%,96%,2012,Demographic and Health Survey
BEN,Benin,SSA,WCA,Low income (L),3%,1%,6%,0%,17%,2017-18,EDSA
BOL,Bolivia (Plurinational State of),LAC,LAC,Lower middle income (LM),12%,4%,17%,,,2016,Multiple Indicator Cluster Survey
BIH,Bosnia and Herzegovina,ECA,EECA,Upper middle income (UM),50%,39%,73%,3%,95%,2011-12,"Brazil Continuous National Household Sample Survey (Continuous PNAD) 2018, IBGE."
BRA,Brazil,LAC,LAC,Upper middle income (UM),82%,49%,89%,84%,100%,2018,Bulgarian Longitudinal Inclusive Society Survey (BLISS) 2013
BGR,Bulgaria,ECA,EECA,Upper middle income (UM),72%,41%,79%,25%,96%,2013,Demographic and Health Survey
BFA,Burkina Faso,SSA,WCA,Low income (L),1%,1%,2%,1%,5%,2010,Multiple Indicator Cluster Survey
CMR,Cameroon,SSA,WCA,Lower middle income (LM),4%,0%,9%,0%,23%,2014,Multiple Indicator Cluster Survey
CAF,Central African Republic,SSA,WCA,Low income (L),3%,1%,8%,0%,15%,2018-19,Multiple Indicator Cluster Survey
TCD,Chad,SSA,WCA,Low income (L),2%,1%,7%,0%,8%,2019,CASEN
