ISO3,Countries and areas,Region,Sub-region,Income Group,Total,Rural,Urban,Poorest,Richest,Time period,Data source
,,,UNICEF Sub-region 1,,,,,,,,
AGO,Angola,SSA,ESA,Lower middle income (LM),15%,2%,22%,0%,61%,2015-16,Demographic and Health Survey
ARG,Argentina,LAC,LAC,Upper middle income (UM),39%,,,,,2011-12,Multiple Indicator Cluster Survey
ARM,Armenia,ECA,EECA,Upper middle income (UM),81%,69%,89%,46%,99%,2015-16,Demographic and Health Survey
BGD,Bangladesh,SA,SA,Lower middle income (LM),34%,30%,49%,7%,75%,2019,Multiple Indicator Cluster Survey
BRB,Barbados,LAC,LAC,High income (H),63%,54%,68%,9%,97%,2012,Multiple Indicator Cluster Survey
BEN,Benin,SSA,WCA,Low income (L),3%,1%,6%,0%,14%,2017-18,Demographic and Health Survey
BOL,Bolivia (Plurinational State of),LAC,LAC,Lower middle income (LM),11%,4%,15%,,,2016,EDSA
BIH,Bosnia and Herzegovina,ECA,EECA,Upper middle income (UM),51%,43%,68%,3%,95%,2011-12,Multiple Indicator Cluster Survey
BRA,Brazil,LAC,LAC,Upper middle income (UM),82%,49%,88%,86%,100%,2018,"Brazil Continuous National Household Sample Survey (Continuous PNAD) 2018, IBGE."
BGR,Bulgaria,ECA,EECA,Upper middle income (UM),73%,65%,77%,24%,98%,2013,Bulgarian Longitudinal Inclusive Society Survey (BLISS) 2013
BFA,Burkina Faso,SSA,WCA,Low income (L),1%,1%,3%,1%,4%,2010,Demographic and Health Survey
CMR,Cameroon,SSA,WCA,Lower middle income (LM),4%,0%,9%,0%,22%,2014,Multiple Indicator Cluster Survey
CAF,Central African Republic,SSA,WCA,Low income (L),3%,1%,8%,0%,15%,2018-19,Multiple Indicator Cluster Survey
TCD,Chad,SSA,WCA,Low income (L),2%,1%,8%,0%,9%,2019,Multiple Indicator Cluster Survey
CHL,Chile,LAC,LAC,High income (H),86%,69%,88%,71%,99%,2017,CASEN
CHN,China,EAP,EAP,Upper middle income (UM),62%,53%,91%,,,2018,CHARLS 2018
COL,Colombia,LAC,LAC,Upper middle income (UM),33%,4%,45%,1%,98%,2015-16,Demographic and Health Survey
CRI,Costa Rica,LAC,LAC,Upper middle income (UM),70%,61%,74%,44%,99%,2018,Multiple Indicator Cluster Survey
CIV,Côte d'Ivoire,SSA,WCA,Lower middle income (LM),2%,0%,5%,0%,13%,2016,Multiple Indicator Cluster Survey
CUB,Cuba,LAC,LAC,Upper middle income (UM),5%,2%,6%,16%,0%,2019,Multiple Indicator Cluster Survey
COD,Democratic Republic of the Congo,SSA,WCA,Low income (L),1%,0%,2%,0%,3%,2017-18,Multiple Indicator Cluster Survey
DJI,Djibouti,SSA,ESA,Lower middle income (LM),4%,1%,8%,1%,32%,2012,Enquête Djiboutienne Auprès des Ménages pour les Indicateurs Sociaux 2012 - Données pour utilisation publique
DOM,Dominican Republic,LAC,LAC,Upper middle income (UM),24%,9%,29%,0%,78%,2014,Multiple Indicator Cluster Survey
ECU,Ecuador,LAC,LAC,Upper middle income (UM),40%,19%,50%,,,2018,ENSANUT
EGY,Egypt,MENA,MENA,Lower middle income (LM),16%,9%,27%,,,2015,"2015 Household Income, Expenditure and Consumption Survey"
GMB,Gambia,SSA,WCA,Low income (L),64%,46%,74%,25%,93%,2018,Multiple Indicator Cluster Survey
GEO,Georgia,ECA,EECA,Upper middle income (UM),84%,70%,93%,46%,99%,2018,Multiple Indicator Cluster Survey
GHA,Ghana,SSA,WCA,Lower middle income (LM),16%,10%,25%,2%,52%,2017-18,Multiple Indicator Cluster Survey
GTM,Guatemala,LAC,LAC,Upper middle income (UM),8%,2%,16%,0%,43%,2014-15,Demographic and Health Survey
GNB,Guinea-Bissau,SSA,WCA,Low income (L),2%,1%,4%,0%,5%,2018-19,Multiple Indicator Cluster Survey
