ISO3,Countries and areas,Region,Sub-region,Income Group,Total,Rural,Urban,Poorest,Richest,Time period,Data source
DZA,Algeria,MENA,MENA,Upper middle income (UM),24%,9%,32%,1%,77%,2018-19,Demographic and Health Survey
AGO,Angola,SSA,ESA,Lower middle income (LM),17%,2%,24%,0%,62%,2015-16,Multiple Indicator Cluster Survey
ARG,Argentina,LAC,LAC,Upper middle income (UM),40%,,,,,2011-12,Demographic and Health Survey
ARM,Armenia,ECA,EECA,Upper middle income (UM),81%,71%,88%,47%,99%,2015-16,Multiple Indicator Cluster Survey
BGD,Bangladesh,SA,SA,Lower middle income (LM),37%,33%,52%,9%,76%,2019,Multiple Indicator Cluster Survey
BRB,Barbados,LAC,LAC,High income (H),66%,61%,69%,10%,98%,2012,Demographic and Health Survey
BEN,Benin,SSA,WCA,Low income (L),4%,1%,7%,0%,16%,2017-18,EDSA
BOL,Bolivia (Plurinational State of),LAC,LAC,Lower middle income (LM),12%,4%,17%,,,2016,Multiple Indicator Cluster Survey
BIH,Bosnia and Herzegovina,ECA,EECA,Upper middle income (UM),59%,51%,76%,8%,96%,2011-12,"Brazil Continuous National Household Sample Survey (Continuous PNAD) 2018, IBGE."
BRA,Brazil,LAC,LAC,Upper middle income (UM),83%,51%,89%,84%,97%,2018,Bulgarian Longitudinal Inclusive Society Survey (BLISS) 2013
BGR,Bulgaria,ECA,EECA,Upper middle income (UM),76%,66%,81%,35%,97%,2013,Demographic and Health Survey
BFA,Burkina Faso,SSA,WCA,Low income (L),1%,1%,4%,1%,5%,2010,Multiple Indicator Cluster Survey
CMR,Cameroon,SSA,WCA,Lower middle income (LM),5%,0%,10%,0%,24%,2014,Multiple Indicator Cluster Survey
CAF,Central African Republic,SSA,WCA,Low income (L),4%,1%,9%,0%,16%,2018-19,Multiple Indicator Cluster Survey
TCD,Chad,SSA,WCA,Low income (L),2%,1%,8%,0%,9%,2019,CASEN
CHL,Chile,LAC,LAC,High income (H),86%,70%,89%,73%,99%,2017,CHARLS 2018
CHN,China,EAP,EAP,Upper middle income (UM),57%,50%,91%,,90%,2018,Demographic and Health Survey
COL,Colombia,LAC,LAC,Upper middle income (UM),36%,5%,48%,1%,98%,2015-16,Multiple Indicator Cluster Survey
CRI,Costa Rica,LAC,LAC,Upper middle income (UM),72%,61%,78%,46%,99%,2018,Multiple Indicator Cluster Survey
CIV,Côte d'Ivoire,SSA,WCA,Lower middle income (LM),3%,1%,5%,0%,14%,2016,Multiple Indicator Cluster Survey
